Code,IndexName,Sector17CodeName,Sector33CodeName
0000,TOPIX,-,T
0001,東証二部総合指数,-,T
0028,TOPIX Core30,-,T
0029,TOPIX Large 70,-,L
002A,TOPIX 100,-,T
002B,TOPIX Mid400,-,M
002C,TOPIX 500,-,T
002D,TOPIX Small,-,S
002E,TOPIX 1000,-,T
002F,TOPIX Small500,-,S
0040,東証業種別 水産・農林業,-,水産・農林業
0041,東証業種別 鉱業,-,鉱業
0042,東証業種別 建設業,-,建設業
0043,東証業種別 食料品,-,食料品
0044,東証業種別 繊維製品,-,繊維製品
0045,東証業種別 パルプ・紙,-,パルプ・紙
0046,東証業種別 化学,-,化学
0047,東証業種別 医薬品,-,医薬品
0048,東証業種別 石油・石炭製品​,-,石油・石炭製品​
0049,東証業種別 ゴム製品,-,ゴム製品
004A,東証業種別 ガラス・土石製品,-,ガラス・土石製品
004B,東証業種別 鉄鋼,-,鉄鋼
004C,東証業種別 非鉄金属,-,非鉄金属
004D,東証業種別 金属製品,-,金属製品
004E,東証業種別 機械,-,機械
004F,東証業種別 電気機器,-,電気機器
0050,東証業種別 輸送用機器,-,輸送用機器
0051,東証業種別 精密機器,-,精密機器
0052,東証業種別 その他製品,-,その他製品
0053,東証業種別 電気・ガス業,-,電気・ガス業
0054,東証業種別 陸運業,-,陸運業
0055,東証業種別 海運業,-,海運業
0056,東証業種別 空運業,-,空運業
0057,東証業種別 倉庫・運輸関連業​,-,倉庫・運輸関連業​
0058,東証業種別 情報・通信業,-,情報・通信業
0059,東証業種別 卸売業,-,卸売業
005A,東証業種別 小売業,-,小売業
005B,東証業種別 銀行業,-,銀行業
005C,東証業種別 証券・商品先物取引業,-,証券・商品先物取引業
005D,東証業種別 保険業,-,保険業
005E,東証業種別 その他金融業,-,その他金融業
005F,東証業種別 不動産業,-,不動産業
0060,東証業種別 サービス業,-,サービス業
0070,東証グロース市場250指数,-,G
0075,REIT,REIT,REIT
0080,TOPIX-17 食品,食品,-
0081,TOPIX-17 エネルギー資源,エネルギー資源,-
0082,TOPIX-17 建設・資材,建設・資材,-
0083,TOPIX-17 素材・化学,素材・化学,-
0084,TOPIX-17 医薬品,医薬品,-
0085,TOPIX-17 自動車・輸送機,自動車・輸送機,-
0086,TOPIX-17 鉄鋼・非鉄​,鉄鋼・非鉄​,-
0087,TOPIX-17 機械,機械,-
0088,TOPIX-17 電機・精密,電機・精密,-
0089,TOPIX-17 情報通信・サービスその他,情報通信・サービスその他,-
008A,TOPIX-17 電力・ガス,電力・ガス,-
008B,TOPIX-17 運輸・物流,運輸・物流,-
008C,TOPIX-17 商社・卸売,商社・卸売,-
008D,TOPIX-17 小売,小売,-
008E,TOPIX-17 銀行,銀行,-
008F,TOPIX-17 金融（除く銀行）,金融（除く銀行）,-
0090,TOPIX-17 不動産,不動産,-
0091,JASDAQ INDEX,-,T
0500,東証プライム市場指数,-,T
0501,東証スタンダード市場指数,-,T
0502,東証グロース市場指数,-,G
0503,JPXプライム150指数,-,T
8100,TOPIX バリュー,-,V
812C,TOPIX500 バリュー,-,V
812D,TOPIXSmall バリュー,-,SV
8200,TOPIX グロース,-,G
822C,TOPIX500 グロース,-,G
822D,TOPIXSmall グロース,-,SG
8501,東証REIT オフィス指数,REIT,REIT
8502,東証REIT 住宅指数,REIT,REIT
8503,東証REIT 商業・物流等指数,REIT,REIT
